Ownerid, WellName, APICode, Date, Choke, FTP, CSG, DownTime, Reason, GasProduction, OilProduction, WaterProduction
244021,AUSTIN 039-3204H,3.3061E+13,1/3/2017,0.531,95.52,4.88,,,952.46,293.26,5.01
244021,AUSTIN 039-3204H,3.3061E+13,1/2/2017,0.531,72.81,26.76,,,944.39,281.05,3.34
244021,AUSTIN 039-3204H,3.3061E+13,1/1/2017,0.531,53.82,75.47,,,939.16,268.98,5.01
244021,BERT 1-28H,3.3061E+13,1/4/2017,0,48.49,51.92,,,119.33,66.38,6.68
244021,BERT 1-28H,3.3061E+13,1/3/2017,0,91.71,48.26,,,111.85,65.32,5.01
244021,BERT 1-28H,3.3061E+13,1/2/2017,0,85.08,57.79,,,111.32,67.68,5.01
244021,BERT 1-28H,3.3061E+13,1/1/2017,0,97.35,56.57,,,112.01,66.32,5.01
244021,HAUGE 1-01H,3.3061E+13,1/3/2017,0,144.55,117.56,,,144.09,61.33,1.67
244021,HAUGE 1-01H,3.3061E+13,1/2/2017,0,130.37,111.69,,,146.28,60.33,-1.67
244021,HAUGE 1-01H,3.3061E+13,1/1/2017,0,131.97,103.83,,,153.35,40.04,28.39
244021,WAYZETTA  22-1509H,3.3061E+13,1/3/2017,0,49.48,40.41,,,91.91,64.75,8.35
244021,WAYZETTA  22-1509H,3.3061E+13,1/2/2017,0,59.62,45.82,,,108.49,73.52,6.68
244021,WAYZETTA  22-1509H,3.3061E+13,1/1/2017,0,54.66,44.67,,,108.45,25.08,13.91
244021,WAYZETTA 149-1509H,3.3061E+13,1/4/2017,0,90.34,69.45,,,383.44,181.8,0.12
244021,WAYZETTA 149-1509H,3.3061E+13,1/3/2017,0,93.09,72.2,,,406.32,184.18,0
244021,WAYZETTA 149-1509H,3.3061E+13,1/2/2017,0,93.31,71.82,,,393.05,184,0
244021,WAYZETTA 149-1509H,3.3061E+13,1/1/2017,0,87.14,70.9,,,378.05,185,0.34
244021,WAYZETTA 150-1509H,3.3061E+13,1/4/2017,0.281,78.75,112.91,,,439.12,230.76,25.02
244021,WAYZETTA 150-1509H,3.3061E+13,1/3/2017,0.281,86.99,116.41,,,433.67,221.91,31.73
244021,WAYZETTA 150-1509H,3.3061E+13,1/2/2017,0.281,74.48,114.81,,,432.79,227.7,20.04
244021,WAYZETTA 150-1509H,3.3061E+13,1/1/2017,0.281,75.25,114.2,,,443.86,221,35.27
244021,WAYZETTA 16-09H,3.3061E+13,1/4/2017,0,45.97,48.64,,,173.62,60,1.67
244021,WAYZETTA 16-09H,3.3061E+13,1/3/2017,0,47.65,45.82,,,170.61,61,3.34
244021,WAYZETTA 16-09H,3.3061E+13,1/2/2017,0,51.31,49.1,,,171.49,61,-1.67
244021,WAYZETTA 16-09H,3.3061E+13,1/1/2017,0,51.92,51.69,,,170.78,60,0
