API,Well,Date,Oil,Water,Gas,Gas Sales,Gas Flared,Gas Vented,TP,CP,DownHours,Comments
3505123671,ARRINGTON 1-23H,1/1/2017,15,121.67,807.1,763.1,0,0,140,691,0,
3505123671,ARRINGTON 1-23H,1/2/2017,16.76,126.76,804.3,760.3,0,0,133,701,0,
3505123671,ARRINGTON 1-23H,1/3/2017,16.67,115,804.6,760.6,0,0,129,703,0,
3505123671,ARRINGTON 1-23H,1/4/2017,15,120,801,757,0,0,133,705,0,
3505123671,ARRINGTON 1-23H,1/5/2017,20.01,120,762.2,718.2,0,0,173,720,0,"10 9676, 220 CM, 200 BM."
3505123671,ARRINGTON 1-23H,1/6/2017,16.67,112.67,814.4,770.4,0,0,105,686,0,
3505123671,ARRINGTON 1-23H,1/7/2017,15,110,808.2,764.2,0,0,102,692,0,
3505123671,ARRINGTON 1-23H,1/8/2017,15,133.33,805.3,761.3,0,0,124,688,0,
3505123671,ARRINGTON 1-23H,1/9/2017,16.67,116.67,801,757,0,0,112,693,0,
3505123671,ARRINGTON 1-23H,1/10/2017,19.73,116.67,805.6,761.6,0,0,124,685,0,
3505123671,ARRINGTON 1-23H,1/11/2017,16.67,115.33,805.9,761.9,0,0,128,687,0,
3505123671,ARRINGTON 1-23H,1/12/2017,15,115,806.6,762.6,0,0,131,695,0,"190 CM, 190 BM."
3505123671,ARRINGTON 1-23H,1/13/2017,13.34,111.67,808.1,764.1,0,0,116.17,696.72,0,
3505123671,ARRINGTON 1-23H,1/14/2017,11.65,128.36,807,763,0,0,122.99,691.2,0,
3505123671,ARRINGTON 1-23H,1/15/2017,13.32,108.36,807.56,763.56,0,0,117.78,693.63,0,
3505123671,ARRINGTON 1-23H,1/16/2017,13.34,120,807.7,763.7,0,0,115.21,679.85,0,
3505123671,ARRINGTON 1-23H,1/17/2017,13.3,132.04,807.7,763.7,0,0,119,648,0,
3505123671,ARRINGTON 1-23H,1/18/2017,9.98,122.36,807.6,763.6,0,0,118,690,0,
3505123671,ARRINGTON 1-23H,1/19/2017,11.65,128.69,807.07,763.07,0,0,118,689,0,"180 BM, 190 CM."
3505123671,ARRINGTON 1-23H,1/20/2017,17.82,118.33,808.1,764.1,0,0,121,690,0,
3505123671,ARRINGTON 1-23H,1/21/2017,15.06,123.33,809.1,765.1,0,0,117,692,0,
3505123671,ARRINGTON 1-23H,1/22/2017,18.34,111.67,809.5,765.5,0,0,118,680,0,
3505123671,ARRINGTON 1-23H,1/23/2017,13.34,113,805,761,0,0,124,689,0,
3505123671,ARRINGTON 1-23H,1/24/2017,16.67,113.33,817.2,795.2,0,0,105,658,0,
3505123671,ARRINGTON 1-23H,1/25/2017,16.67,111.67,791.9,791.9,0,0,107,658,0,"160 BM, 160 CM."
3505123671,ARRINGTON 1-23H,1/26/2017,13.34,105,783.7,783.7,0,0,105.96,656.28,0,
3505123671,ARRINGTON 1-23H,1/27/2017,16.67,115,782.6,782.6,0,0,106,658,0,
3505123671,ARRINGTON 1-23H,1/28/2017,16.67,110,782.1,782.1,0,0,107,656,0,
3505123671,ARRINGTON 1-23H,1/29/2017,16.67,125,781.5,781.5,0,0,108,656,0,
3505123671,ARRINGTON 1-23H,1/30/2017,16.67,110,783,783,0,0,109,655,0,
3505123671,ARRINGTON 1-23H,1/31/2017,18.34,115,784.6,784.6,0,0,106,656,0,
3505123671,ARRINGTON 1-23H,2/1/2017,11.31,111.67,785,785,0,0,105,654,0,
3505123671,ARRINGTON 1-23H,2/2/2017,15.02,106.67,784,784,0,0,105,654,0,
3505123671,ARRINGTON 1-23H,2/3/2017,15,103.33,784.6,784.6,0,0,104.51,652.42,0,
3505123671,ARRINGTON 1-23H,2/4/2017,15,111.67,787.5,787.5,0,0,106.41,652.91,0,
3505123671,ARRINGTON 1-23H,2/5/2017,18.34,118.33,787.4,787.4,0,0,106.37,653.33,0,
3505123671,ARRINGTON 1-23H,2/6/2017,13.34,105,787.7,787.7,0,0,103.76,651.3,0,
3505123671,ARRINGTON 1-23H,2/7/2017,20.01,138.33,788.32,788.32,0,0,105,647,0,
3505123671,ARRINGTON 1-23H,2/8/2017,15,105,788.8,788.8,0,0,103,651,0,
3505123671,ARRINGTON 1-23H,2/9/2017,15,114,788.6,788.6,0,0,105,650,0,
3505123671,ARRINGTON 1-23H,2/10/2017,15,105,791.3,791.3,0,0,105,649,0,
3505123671,ARRINGTON 1-23H,2/11/2017,15,111.67,788.9,788.9,0,0,107,648,0,
