Rig,Pad Number,Pad Name,Well Name 1,Well Name 2  ,Well Name 3 ,Well Name 4 ,Well Name 5 ,Well Name 6,Well number 1,Well number 2,Well number 3,Well number 4,Well number 5,Well number 6,Spud Date Well 1 ,Spud Date Well 2 ,Spud Date Well 3 ,Spud Date Well 4 ,Spud Date Well 5 ,Spud Date Well 6 ,Complete Well 1,Complete Well 2,Complete Well 3,Complete Well 4,Complete Well 5,Complete Well 6,AFE # well 1,AFE # well 2,AFE # well 2,AFE # well 3,AFE # well 4,AFE # well 5,AFE # well 6,Location Status,AFE Status,Permit status well 1,Permit status well 2,Permit status well 3,Permit status well 4,Permit status well 5,Permit status well 6,Phase Window,Unit ID well 1,Unit ID well 2,Unit ID well 3,Unit ID well 4,Unit ID well 5,Unit ID well 6,Unit Name well 1,Unit Name well 2,Unit Name well 3,Unit Name well 4,Unit Name well 5,Unit Name well 6
Sidewinder 60,320129,LEPLEY ,LEPLEY 210218 1F,LEPLEY 210218 2C,LEPLEY 210218 3E,LEPLEY 210218 5D,LEPLEY 210218 4B,LEPLEY 210218 6A,110197,110194,110196,110195,110199,110198,10/8/2014,11/25/2014,1/5/2015,2/19/2015,3/27/2015,4/22/2015,11/25/2014,1/5/2015,2/19/2015,3/27/2015,4/22/2015,5/17/2015,,,,,,,,,,,,,,,,DRY,210218,210218,210218,210218,210218,210218,LEPLEY,LEPLEY,LEPLEY,LEPLEY,LEPLEY,LEPLEY
PDC 71,320248,EDGE,EDGE 210021 1D,EDGE 210126 2A,EDGE 210126 3D,EDGE 210126 4B,EDGE 210126 5C,EDGE 210022 6D,110063,110056,110796,110057,110795,110320,6/1/2015,6/28/2015,7/26/2015,8/19/2015,9/6/2015,9/26/2015,6/28/2015,7/26/2015,8/19/2015,9/6/2015,9/26/2015,10/21/2015,,,,,,,,,,,,,,,,DRY,210021,210126,210126,210126,210126,210022,PUGH RIDGE NORTH,PUGH RIDGE II NORTH,PUGH RIDGE II NORTH,PUGH RIDGE II NORTH,PUGH RIDGE II NORTH,PUGH RIDGE SOUTH
PDC 71,320294,THOMPSON SOUTH,THOMPSON SOUTH 210466 1A,THOMPSON SOUTH 210235 2D,THOMPSON SOUTH 210235 3C,THOMPSON SOUTH 210235 4B,THOMPSON SOUTH 210235 5A,,110810,111702,110809,110808,110807,,10/29/2015,11/24/2015,12/17/2015,1/22/2016,2/18/2016,,11/24/2015,12/17/2015,1/22/2016,2/18/2016,3/22/2016,,,,,,,,,,,,,,,,,DRY,210466,210235,210235,210235,210235,0,THOMPSON SOUTHEAST,THOMPSON SOUTHWEST,THOMPSON SOUTHWEST,THOMPSON SOUTHWEST,THOMPSON SOUTHWEST,
PDC 71,320447,VALERIE,VALERIE 210473 2B,VALERIE 210473 3C,VALERIE 210473 1A,,,,111184,111992,111183,,,,3/27/2016,4/17/2016,5/6/2016,,,,4/17/2016,5/6/2016,5/25/2016,,,,,,,,,,,Complete,Done,Working one open lease and misc. curative,Working one open lease and misc. curative,Working one open lease and misc. curative,Working one open lease and misc. curative,Working one open lease and misc. curative,Working one open lease and misc. curative,DRY,210473,210473,210473,0,0,0,VALERIE,VALERIE,VALERIE,,,
PDC 71,0,,,,,,,,,,,,,,5/30/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
Orange Rig,320101,NEAL,NEAL 210151 XA,NEAL 210151 XB,NEAL 210465 XA,NEAL 210465 XB,NEAL 210225 XA,,110514,110515,110516,110739,110740,,1/1/2018,1/26/2018,2/20/2018,3/17/2018,4/11/2018,,1/26/2018,2/20/2018,3/17/2018,4/11/2018,5/6/2018,,,,,,,,,,,,,,,,,DRY,210151,210151,210465,210465,210225,0,NEAL WEST,NEAL WEST,NEAL EAST,NEAL EAST,SANDY RIDGE B,
Orange Rig,320261,TIGER,TIGER 210187 XC,TIGER 210187 XA,TIGER 210187 XB,TIGER 210293 XA,TIGER 210475 XB,TIGER 210476 XA,110962,110960,110961,110963,111092,111095,5/11/2018,6/5/2018,6/30/2018,7/25/2018,8/19/2018,9/13/2018,6/5/2018,6/30/2018,7/25/2018,8/19/2018,9/13/2018,10/8/2018,,,,,,,,,,,,,,,,DRY,210187,210187,210187,210293,210475,210476,CROZIER RIDGE B,CROZIER RIDGE B,CROZIER RIDGE B,CROZIER RIDGE EAST,RONALD,BAKER
Orange Rig,320323,JONATHAN,JONATHAN 210285 XA,JONATHAN 210285 XB,JONATHAN 210285 XC,JONATHAN 210285 XD,,,110999,111000,111001,111002,,,10/13/2018,11/7/2018,12/2/2018,12/27/2018,,,11/7/2018,12/2/2018,12/27/2018,1/21/2019,,,,,,,,,,,,,,,,,,DRY,210285,210285,210285,210285,0,0,MCMAHON B,MCMAHON B,MCMAHON B,MCMAHON B,,
Orange Rig,320357,BEACON,BEACON 210133 1A,BEACON 210275 2A,,,,,110024,110977,,,,,1/26/2019,2/20/2019,,,,,2/20/2019,3/17/2019,,,,,,,,,,,,,,,,,,,,WET,210133,210275,0,0,0,0,BEACON NORTH,BARNESVILLE C,,,,
Orange Rig,320359,BARNESVILLE,BARNESVILLE 210223 XA,BARNESVILLE 210223 XB,BARNESVILLE 210255 XA,BARNESVILLE 210256 XA,BARNESVILLE 210223 XC,BARNESVILLE 210255 XB,110102,110103,110104,110976,110832,110833,3/22/2019,4/16/2019,5/11/2019,6/5/2019,6/30/2019,7/25/2019,4/16/2019,5/11/2019,6/5/2019,6/30/2019,7/25/2019,8/19/2019,,,,,,,,,,,,,,,,WET,210223,210223,210255,210256,210223,210255,CAT HOLLOW D,CAT HOLLOW D,BARNESVILLE A,BARNESVILLE B,CAT HOLLOW D,BARNESVILLE A
